name,results count - subtype AND res,total,group,freq_subtype
phosphorus metabolism disease,10,6961,1,0.0014365752047119666
benign prostatic hyperplasia,241,30668,1,0.007858353984609365
zika virus congenital syndrome,1,1040,1,0.0009615384615384616
malignant childhood germ cell neoplasm,47,1940,1,0.02422680412371134
benign neoplasm of stomach,1209,133465,1,0.00905855467725621
sexual and gender identity disorders,2,2544,1,0.0007861635220125787
genetic eye tumor,62,4011,1,0.015457491897282473
ewing sarcoma,103,10080,1,0.010218253968253968
metastatic malignant neoplasm in the colon,103,15629,1,0.0065903128799027445
benign neoplasm of ear,148,20705,1,0.007148031876358368
conjunctival intraepithelial neoplasm,1,483,1,0.002070393374741201
abnormality of the thyroid gland,3,537,1,0.00558659217877095
covid-19,1181,366310,1,0.00322404520761104
acquired mineral metabolism disease,2,182,1,0.01098901098901099
benign neoplasm of tongue,82,18282,1,0.004485286073733727
glottis carcinoma,6,2740,1,0.0021897810218978104
major depressive disorder,1676,152826,1,0.01096672032245822
smallpox,29,11247,1,0.0025784653685427227
lesion of sciatic nerve,56,11835,1,0.0047317279256442754
histiocytic sarcoma,22,1684,1,0.013064133016627079
endocervical carcinoma,125,8075,1,0.015479876160990712
anaplastic oligodendroglioma,173,5402,1,0.0320251758607923
autism,598,71235,1,0.0083947497718818
alexithymia,311,29535,1,0.01052987980362282
female breast carcinoma,8122,334079,1,0.02431161491742971
laryngeal squamous cell carcinoma,420,53918,1,0.00778960643940799
carcinoma of supraglottis,4,225,1,0.017777777777777778
benign neoplasm of lip,49,8993,1,0.005448682308462138
papillary serous cystadenocarcinoma,369,5898,1,0.06256358087487283
glomus tumor,21,4580,1,0.004585152838427947
digestive duplication,12,3319,1,0.0036155468514612837
paranoid personality disorder,34,1598,1,0.02127659574468085
chagas disease,53,21651,1,0.0024479238834233985
enthesitis,95,2284,1,0.04159369527145359
sarcomatoid squamous cell carcinoma,52,569,1,0.0913884007029877
cancer-associated retinopathy,4,1066,1,0.00375234521575985
atp biosynthetic process,1277,217369,1,0.005874802754762639
esophageal small cell neuroendocrine carcinoma,31,2950,1,0.010508474576271187
acquired factor vii deficiency,1,213,1,0.004694835680751174
metabolic syndrome,497,104312,1,0.004764552496357082
alcohol abuse,548,127978,1,0.004281985966337964
lip cancer,49,8758,1,0.005594884676866864
protein z deficiency,1,95,1,0.010526315789473684
chronic graft versus host disease,63,12067,1,0.0052208502527554485
desmoplastic infantile astrocytoma,3,91,1,0.03296703296703297
allergic asthma,207,44521,1,0.004649491251319602
male breast carcinoma,605,52260,1,0.011576731725985457
ulceration of vulva,3,319,1,0.009404388714733543
vitiligo,61,9402,1,0.006487981280578601
benign neoplasm of pancreas,525,54243,1,0.009678668215253582
hepatocellular clear cell carcinoma,33,1329,1,0.024830699774266364
neurenteric cyst,91,34093,1,0.0026691696242630452
epithelioid sarcoma,2942,195408,1,0.015055678375501515
nephrolithiasis,22,25670,1,0.0008570315543435917
rheumatoid lung disease,47,7570,1,0.006208718626155878
extrapyramidal and movement disease,12,870,1,0.013793103448275862
infection,44560,3787242,1,0.011765817975191445
diabetic encephalopathy,0,442,1,0.0
speech disorder,376,68053,1,0.005525105432530528
granular cell carcinoma,10187,505692,1,0.020144673042088862
bile duct papillary neoplasm,58,1612,1,0.03598014888337469
primary central nervous system vasculitis,47,11495,1,0.0040887342322749026
"microphthalmia, isolated, with cataract",0,45,1,0.0
hypermobility syndrome,60,1595,1,0.03761755485893417
oligodendroglioma,173,5402,1,0.0320251758607923
abnormality of chromosome segregation,0,170,1,0.0
nasopharyngeal neoplasm,199,21722,1,0.009161219040603996
benign neoplasm of anus,62,12449,1,0.004980319704393927
lymph node metastatic carcinoma,574,31048,1,0.018487503220819376
acquired factor x deficiency,0,118,1,0.0
immunoproliferative disorder,6157,346028,1,0.017793357762955597
abdominal obesity-metabolic syndrome,1,28,1,0.03571428571428571
conjunctival vascular disorder,2,2347,1,0.0008521516829995739
benign colon neoplasm,14,2943,1,0.004757050628610262
congenital tracheal stenosis,1,390,1,0.002564102564102564
rectosigmoid junction neoplasm,1,194,1,0.005154639175257732
ciliary body neoplasm,8,2192,1,0.0036496350364963502
buruli ulcer disease,2,1238,1,0.0016155088852988692
familial disease,3609,336946,1,0.010710915102123188
malignant syringoma,3,173,1,0.017341040462427744
helicobacter pylori infectious disease,20,1907,1,0.01048767697954903
childhood cerebellar neoplasm,36,1044,1,0.034482758620689655
structural epilepsy,76,5493,1,0.013835791006735846
malignant renovascular hypertension,2,306,1,0.006535947712418301
duodenitis,4,2616,1,0.0015290519877675841
isolated amyelia,0,1,1,0.0
benign neoplasm of pituitary gland,105,12215,1,0.008595988538681949
neurogenic palpebral tumor,0,10,1,0.0
benign neoplasm of spinal cord,140,21896,1,0.00639386189258312
diverticulitis of colon,4,6269,1,0.000638060296698038
migraine without aura,254,6984,1,0.036368843069874
amblyopia,28,10332,1,0.0027100271002710027
paraneoplastic cerebellar degeneration,9,857,1,0.010501750291715286
vitamin d deficiency,78,38644,1,0.002018424593727357
myopericytoma,4,222,1,0.018018018018018018
dysplasia,680,100619,1,0.006758166946600542
diabetic polyneuropathy,42,27850,1,0.0015080789946140035
crystal arthropathy,33,16060,1,0.002054794520547945
upper limb hypertrophy,2,921,1,0.002171552660152009
mixed sclerosing bone dystrophy with extra-skeletal manifestations,0,0,1,
gastroesophageal junction adenocarcinoma,63,3624,1,0.0173841059602649
metastatic melanoma,425,38332,1,0.01108734216842325
leather-bottle stomach,9,632,1,0.014240506329113924
enuresis,30,6709,1,0.004471605306304963
